      No     Day     Mon    Year  Qobs_0000000045  Qsim_0000000045
     227      13      10    1993      258.0000000      319.1018568
     228      14      10    1993      262.0000000      303.4276094
     229      15      10    1993      304.0000000      336.2388561
     230      16      10    1993      265.0000000      316.9987907
     231      17      10    1993      256.0000000      273.2785942
     232      18      10    1993      237.0000000      259.9718287
     233      19      10    1993      244.0000000      271.5211183
     234      20      10    1993      241.0000000      245.9162641
     235      21      10    1993      244.0000000      364.4959564
     236      22      10    1993      803.0000000      758.6852357
     237      23      10    1993     1185.0000000      990.9447329
     238      24      10    1993      993.0000000     1035.8464970
     239      25      10    1993      774.0000000      935.0200534
     240      26      10    1993      609.0000000      791.1230425
     241      27      10    1993      493.0000000      664.7778347
     242      28      10    1993      444.0000000      560.8144063
     243      29      10    1993      392.0000000      475.2976025
     244      30      10    1993      334.0000000      404.3605629
     245      31      10    1993      306.0000000      345.2469394
     246       1      11    1993      265.0000000      295.4672372
     247       2      11    1993      263.0000000      253.9492691
     248       3      11    1993      248.0000000      222.6788695
     249       4      11    1993      239.0000000      196.5296122
     250       5      11    1993      219.0000000      220.7183825
     251       6      11    1993      302.0000000      331.4859048
     252       7      11    1993      330.0000000      384.6179477
     253       8      11    1993      358.0000000      398.9611651
     254       9      11    1993      396.0000000      380.9755444
     255      10      11    1993      339.0000000      331.9430668
     256      11      11    1993      286.0000000      305.1282025
     257      12      11    1993      286.0000000      339.3805374
     258      13      11    1993      274.0000000      382.1483131
     259      14      11    1993      281.0000000      344.3398321
     260      15      11    1993      293.0000000      314.7847848
     261      16      11    1993      322.0000000      294.9499457
     262      17      11    1993      304.0000000      262.9017724
     263      18      11    1993      276.0000000      228.5120310
     264      19      11    1993      248.0000000      199.1162651
     265      20      11    1993      234.0000000      174.9309773
     266      21      11    1993      219.0000000      155.6792342
     267      22      11    1993      216.0000000      140.1493435
     268      23      11    1993      209.0000000      127.4128765
     269      24      11    1993      178.0000000      117.6840923
     270      25      11    1993      188.0000000      110.4220505
     271      26      11    1993      183.0000000      105.0041366
     272      27      11    1993      171.0000000      100.7199297
     273      28      11    1993      169.0000000       96.8973829
     274      29      11    1993      164.0000000       93.3947209
     275      30      11    1993      142.0000000       90.1738772
     276       1      12    1993      130.0000000       87.2065493
     277       2      12    1993      134.0000000       84.4675886
     278       3      12    1993      126.0000000       81.9417702
     279       4      12    1993      114.0000000       80.7384665
     280       5      12    1993      116.0000000       83.6173611
     281       6      12    1993      114.0000000       83.1385650
     282       7      12    1993      124.0000000       81.3604598
     283       8      12    1993      121.0000000       80.5082168
     284       9      12    1993      124.0000000       88.9736598
     285      10      12    1993      172.0000000      103.6285048
     286      11      12    1993      174.0000000      134.8634293
     287      12      12    1993      188.0000000      172.2421297
     288      13      12    1993      174.0000000      179.3554581
     289      14      12    1993      178.0000000      289.0523157
     290      15      12    1993      565.0000000      492.6556509
     291      16      12    1993      506.0000000      527.6873905
     292      17      12    1993      424.0000000      497.5593863
     293      18      12    1993      343.0000000      431.7052290
     294      19      12    1993      286.0000000      371.7392763
     295      20      12    1993      258.0000000      326.4330466
     296      21      12    1993      237.0000000      321.4062701
     297      22      12    1993      246.0000000      346.1386350
     298      23      12    1993      239.0000000      308.9945726
     299      24      12    1993      224.0000000      311.5289188
     300      25      12    1993      337.0000000      397.5990062
     301      26      12    1993      288.0000000      372.9558762
     302      27      12    1993      248.0000000      321.5973884
     303      28      12    1993      219.0000000      277.5204299
     304      29      12    1993      204.0000000      240.6936158
     305      30      12    1993      188.0000000      210.1713747
     306      31      12    1993      175.0000000      186.3547268
     307       1       1    1994      205.6700000      215.9541520
     308       2       1    1994      333.5500000      294.8153180
     309       3       1    1994      270.2600000      271.5694645
     310       4       1    1994      252.8200000      318.9900582
     311       5       1    1994      523.5600000      474.0946055
     312       6       1    1994      472.2900000      466.1636208
     313       7       1    1994      452.7400000      464.4577050
     314       8       1    1994      393.0300000      485.3481455
     315       9       1    1994      410.2100000      524.5484857
     316      10       1    1994      381.6600000      480.9518251
     317      11       1    1994      331.3400000      434.9231537
     318      12       1    1994      305.8700000      408.1211685
     319      13       1    1994      286.1800000      362.6600834
     320      14       1    1994      254.6600000      343.7095326
     321      15       1    1994      261.5900000      361.3669353
     322      16       1    1994      256.3900000      322.6028173
     323      17       1    1994      249.4900000      280.8270839
     324      18       1    1994      230.7700000      248.9212631
     325      19       1    1994      210.7700000      217.8409604
     326      20       1    1994      199.3100000      191.4923209
     327      21       1    1994      189.6200000      169.5641904
     328      22       1    1994      176.8900000      152.4257829
     329      23       1    1994      167.4900000      139.3784496
     330      24       1    1994      159.7500000      130.6889950
     331      25       1    1994      165.9300000      123.7873342
     332      26       1    1994      162.8400000      119.3649158
     333      27       1    1994      152.1100000      116.2050079
     334      28       1    1994      152.1100000      112.0572178
     335      29       1    1994      147.5700000      107.9164084
     336      30       1    1994      137.1000000      104.1846823
     337      31       1    1994      132.6700000      100.8021108
     338       1       2    1994      123.9300000       97.7478183
